Domain,LLM,Planner,Iteration,Score
ricochet-robots,Claude Opus 4.6,bfws,1,7.9828
ricochet-robots,GPT-5.4,bfws,2,9.3643
snake,DeepSeek-R1,bfws,1,5.1607
ricochet-robots,Claude Opus 4.6,bfws,2,7.9422
snake,Gemini 3.1 Pro,lama,1,1.1953
ricochet-robots,GPT-5.4,bfws,3,11.004
snake,DeepSeek-R1,bfws,2,5.032
ricochet-robots,Claude Opus 4.6,bfws,3,8.3296
snake,Gemini 3.1 Pro,lama,2,1.179
snake,DeepSeek-R1,bfws,3,4.5376
ricochet-robots,GPT-5.4,madagascar,1,0.0
ricochet-robots,Claude Opus 4.6,madagascar,1,0.0
snake,Gemini 3.1 Pro,lama,3,1.1653
snake,DeepSeek-R1,madagascar,1,3.9462
snake,GPT-5.4,lama,1,1.1666
snake,Claude Opus 4.6,lama,1,1.16
snake,DeepSeek-R1,madagascar,2,3.8584
snake,DeepSeek-R1,madagascar,3,N/A (Invalid: INVALID_V1)
visitall,DeepSeek-R1,lama,1,N/A (Invalid: INVALID_V1)
visitall,DeepSeek-R1,lama,2,N/A (Invalid: INVALID_V1)
snake,Gemini 3.1 Pro,decstar,1,1.6732
visitall,DeepSeek-R1,lama,3,9.592
visitall,DeepSeek-R1,decstar,1,N/A (Invalid: INVALID_V1)
snake,GPT-5.4,lama,2,1.16
snake,Claude Opus 4.6,lama,2,1.1665
snake,Gemini 3.1 Pro,decstar,2,1.6607
visitall,DeepSeek-R1,decstar,2,0.0
visitall,DeepSeek-R1,bfws,1,11.8759
visitall,DeepSeek-R1,bfws,2,11.802
snake,GPT-5.4,lama,3,1.1648
visitall,DeepSeek-R1,bfws,3,12.0262
visitall,DeepSeek-R1,madagascar,1,N/A (Invalid: INVALID_V4)
snake,Claude Opus 4.6,lama,3,1.1626
snake,Gemini 3.1 Pro,decstar,3,1.6694
snake,GPT-5.4,decstar,1,1.6629
visitall,DeepSeek-R1,madagascar,2,0.0
snake,Claude Opus 4.6,decstar,1,1.6704
snake,Gemini 3.1 Pro,bfws,1,3.8469
snake,GPT-5.4,decstar,2,1.6613
snake,Gemini 3.1 Pro,bfws,2,3.935
snake,Gemini 3.1 Pro,bfws,3,N/A (Invalid: LLM_TokenLimitExceeded)
snake,Claude Opus 4.6,decstar,2,1.7178
snake,GPT-5.4,decstar,3,1.7111
snake,Gemini 3.1 Pro,madagascar,1,4.3421
snake,Claude Opus 4.6,decstar,3,1.7231
snake,GPT-5.4,bfws,1,4.0011
snake,Gemini 3.1 Pro,madagascar,2,4.1637
snake,Claude Opus 4.6,bfws,1,5.2352
snake,GPT-5.4,bfws,2,4.6138
snake,Gemini 3.1 Pro,madagascar,3,3.2843
visitall,Gemini 3.1 Pro,lama,1,10.3737
snake,Claude Opus 4.6,bfws,2,4.6073
visitall,Gemini 3.1 Pro,lama,2,10.3754
visitall,Gemini 3.1 Pro,lama,3,10.3525
snake,GPT-5.4,bfws,3,4.6903
snake,Claude Opus 4.6,bfws,3,4.6858
snake,GPT-5.4,madagascar,1,4.4939
visitall,Gemini 3.1 Pro,decstar,1,0.0
visitall,Gemini 3.1 Pro,bfws,1,13.5658
visitall,Gemini 3.1 Pro,bfws,2,13.4501
snake,Claude Opus 4.6,madagascar,1,4.5098
visitall,Gemini 3.1 Pro,bfws,3,13.447
snake,GPT-5.4,madagascar,2,4.2054
snake,Claude Opus 4.6,madagascar,2,4.7172
visitall,Gemini 3.1 Pro,madagascar,1,0.0
snake,GPT-5.4,madagascar,3,4.2173
visitall,GPT-5.4,lama,1,10.5328
visitall,GPT-5.4,lama,2,10.4991
snake,Claude Opus 4.6,madagascar,3,4.0683
visitall,GPT-5.4,lama,3,10.661
visitall,Claude Opus 4.6,lama,1,10.6566
visitall,Claude Opus 4.6,lama,2,10.8257
visitall,Claude Opus 4.6,lama,3,10.8245
visitall,GPT-5.4,decstar,1,0.0
visitall,GPT-5.4,bfws,1,14.8004
visitall,GPT-5.4,bfws,2,14.7121
visitall,GPT-5.4,bfws,3,14.8718
visitall,Claude Opus 4.6,decstar,1,0.0
visitall,Claude Opus 4.6,bfws,1,14.3714
visitall,Claude Opus 4.6,bfws,2,14.7052
visitall,Claude Opus 4.6,bfws,3,14.6504
visitall,GPT-5.4,madagascar,1,0.0
visitall,Claude Opus 4.6,madagascar,1,0.0
