Domain,LLM,Planner,Iteration,Score
ricochet-robots,Claude Opus 4.6,bfws,1,8.8841
ricochet-robots,GPT-5.4,bfws,2,10.3435
snake,DeepSeek-R1,bfws,1,7.3198
ricochet-robots,Claude Opus 4.6,bfws,2,8.835
snake,Gemini 3.1 Pro,lama,1,1.9639
ricochet-robots,GPT-5.4,bfws,3,12.0044
snake,DeepSeek-R1,bfws,2,7.0918
ricochet-robots,Claude Opus 4.6,bfws,3,9.2935
snake,Gemini 3.1 Pro,lama,2,1.9404
snake,DeepSeek-R1,bfws,3,6.168
ricochet-robots,GPT-5.4,madagascar,1,0.0
ricochet-robots,Claude Opus 4.6,madagascar,1,0.0
snake,Gemini 3.1 Pro,lama,3,1.9236
snake,DeepSeek-R1,madagascar,1,4.0106
snake,GPT-5.4,lama,1,1.9086
snake,Claude Opus 4.6,lama,1,1.885
snake,DeepSeek-R1,madagascar,2,3.9204
snake,DeepSeek-R1,madagascar,3,N/A (Invalid: INVALID_V1)
visitall,DeepSeek-R1,lama,1,N/A (Invalid: INVALID_V1)
visitall,DeepSeek-R1,lama,2,N/A (Invalid: INVALID_V1)
snake,Gemini 3.1 Pro,decstar,1,2.7494
visitall,DeepSeek-R1,lama,3,12.7468
visitall,DeepSeek-R1,decstar,1,N/A (Invalid: INVALID_V1)
snake,GPT-5.4,lama,2,1.8878
snake,Claude Opus 4.6,lama,2,1.9003
snake,Gemini 3.1 Pro,decstar,2,2.7305
visitall,DeepSeek-R1,decstar,2,0.0
visitall,DeepSeek-R1,bfws,1,11.8759
visitall,DeepSeek-R1,bfws,2,11.802
snake,GPT-5.4,lama,3,1.9056
visitall,DeepSeek-R1,bfws,3,12.0262
visitall,DeepSeek-R1,madagascar,1,N/A (Invalid: INVALID_V4)
snake,Claude Opus 4.6,lama,3,1.8999
snake,Gemini 3.1 Pro,decstar,3,2.76
snake,GPT-5.4,decstar,1,2.7562
visitall,DeepSeek-R1,madagascar,2,0.0
snake,Claude Opus 4.6,decstar,1,2.7627
snake,Gemini 3.1 Pro,bfws,1,5.0525
snake,GPT-5.4,decstar,2,2.7504
snake,Gemini 3.1 Pro,bfws,2,5.1915
snake,Gemini 3.1 Pro,bfws,3,N/A (Invalid: LLM_TokenLimitExceeded)
snake,Claude Opus 4.6,decstar,2,2.8708
snake,GPT-5.4,decstar,3,2.8671
snake,Gemini 3.1 Pro,madagascar,1,4.3929
snake,Claude Opus 4.6,decstar,3,2.8678
snake,GPT-5.4,bfws,1,5.3169
snake,Gemini 3.1 Pro,madagascar,2,4.2098
snake,Claude Opus 4.6,bfws,1,7.4741
snake,GPT-5.4,bfws,2,6.5207
snake,Gemini 3.1 Pro,madagascar,3,3.3454
visitall,Gemini 3.1 Pro,lama,1,14.1359
snake,Claude Opus 4.6,bfws,2,6.5048
visitall,Gemini 3.1 Pro,lama,2,14.1418
visitall,Gemini 3.1 Pro,lama,3,14.0938
snake,GPT-5.4,bfws,3,6.6715
snake,Claude Opus 4.6,bfws,3,6.5971
snake,GPT-5.4,madagascar,1,4.5629
visitall,Gemini 3.1 Pro,decstar,1,0.0
visitall,Gemini 3.1 Pro,bfws,1,13.5658
visitall,Gemini 3.1 Pro,bfws,2,13.4501
snake,Claude Opus 4.6,madagascar,1,4.5787
visitall,Gemini 3.1 Pro,bfws,3,13.447
snake,GPT-5.4,madagascar,2,4.2522
snake,Claude Opus 4.6,madagascar,2,4.7891
visitall,Gemini 3.1 Pro,madagascar,1,0.0
snake,GPT-5.4,madagascar,3,4.2654
visitall,GPT-5.4,lama,1,14.427
visitall,GPT-5.4,lama,2,14.3564
snake,Claude Opus 4.6,madagascar,3,4.124
visitall,GPT-5.4,lama,3,14.6677
visitall,Claude Opus 4.6,lama,1,14.6575
visitall,Claude Opus 4.6,lama,2,14.9669
visitall,Claude Opus 4.6,lama,3,14.964
visitall,GPT-5.4,decstar,1,0.0
visitall,GPT-5.4,bfws,1,14.8004
visitall,GPT-5.4,bfws,2,14.7121
visitall,GPT-5.4,bfws,3,14.8718
visitall,Claude Opus 4.6,decstar,1,0.0
visitall,Claude Opus 4.6,bfws,1,14.3714
visitall,Claude Opus 4.6,bfws,2,14.7052
visitall,Claude Opus 4.6,bfws,3,14.6504
visitall,GPT-5.4,madagascar,1,0.0
visitall,Claude Opus 4.6,madagascar,1,0.0
