ID,Domain,LLM,Target_Planner,Iteration,Validation_Status,V4_Failure_Detail,Coverage,Avg_Run_Wall_s,Avg_StatesExpanded,IPC_Score,Delta_vs_Baseline,Improved,Delta_vs_Previous,Is_Best_So_Far,LLM_Rationale,Termination_Reason,LLM_Input_Tokens,LLM_Output_Tokens,Domain_File_Path,Timestamp
11,barman,deepseek-reasoner,lama,3,VALID,N/A,1.0,3.6886811333333336,28648,14.787369174752445,-0.025477832990048577,False,-0.05033139811335552,False,"I reorder predicates to list static predicates (next, dispenses, cocktail-part1, cocktail-part2) first to improve mutex discovery for landmark ordering, then order actions by decreasing precondition count to prioritize complex goal-directed actions in tie-breaking, and within each action place dynamic preconditions before static ones to enable earlier failure detection on restrictive conditions, while keeping add-effects before delete-effects for better heuristic propagation.",MAX_ITER,3723,2965,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/lama/barman/barman_deepseek-r1_Feedback_lama_iter3.pddl,2026-05-24T18:45:25.075747
12,barman,gemini-3.1-pro-preview-customtools,lama,3,VALID,N/A,1.0,3.5331007999999997,28648,14.999136036653711,0.21264749463944366,True,0.1890685916718322,True,"To avoid the regressions of previous purely complexity-based orderings, I reordered actions by their typical execution frequency and causal phase in a plan (e.g., `grasp`, `fill-shot`, and `clean-shot` first), which optimizes LAMA's successor generation and tie-breaking for the most commonly evaluated operators. Additionally, I strictly ordered preconditions to evaluate static and highly restrictive predicates (like `contains` and `used`) before common state flags, enabling faster applicability short-circuiting, while placing goal-relevant add-effects first to accelerate the FF heuristic's forward propagation.",MAX_ITER,4029,1781,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/lama/barman/barman_gemini-3.1-pro_Feedback_lama_iter3.pddl,2026-05-24T18:46:48.908539
13,barman,gpt-5.4-2026-03-05,decstar,1,VALID,N/A,0.26666666666666666,106.54018575,1434989,3.9016847139309845,-0.0983152860690154,False,-0.0977461914152622,False,"I reorder predicates to place single-type/local state first and cross-type interaction predicates last, and I order actions from mostly container-local maintenance and hand/container manipulation toward increasingly coordinating shot–shaker–ingredient/cocktail transfers. Within each action, I place preconditions and effects for the primary manipulated object before shared hand, dispenser, cocktail, and level relations so DecStar’s factoring and pricing analyses see local structure earlier and cross-subsystem coupling later.",N/A,3343,1580,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/decstar/barman/barman_gpt-5.4_Feedback_decstar_iter1.pddl,2026-05-24T19:58:10.859685
14,barman,claude-opus-4-6,decstar,1,VALID,N/A,0.26666666666666666,106.7526325,1434989,3.92168291683204,-0.07264599088470136,False,-0.07641333796891159,False,"My reordering strategy places single-subsystem actions (grasp/leave operating on hand-container pairs) first, followed by shot-only actions, then shaker-only actions, and finally cross-subsystem actions (pour-shot-to-shaker, shake, pour-shaker-to-shot) last; predicates are reordered to group single-type predicates (container-only, shaker-only, hand-only) first and multi-type interaction predicates (contains, used, dispenses, cocktail-part, holding) last, with parameter ordering consistently placing the primary manipulated object first. This should help DecStar's causal graph analysis more quickly identify the star topology by making leaf-local variables and actions prominent early, potentially improving factoring quality and enabling more actions to be classified as leaf-only for the timeout instances.",N/A,4054,2053,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/decstar/barman/barman_claude-opus-4.6_Feedback_decstar_iter1.pddl,2026-05-24T19:58:20.084720
15,barman,deepseek-reasoner,decstar,1,VALID,N/A,0.26666666666666666,106.66778224999999,1434989,3.9071494190711253,-0.09285058092887466,False,-0.08935209889030205,False,"My reordering strategy emphasizes DecStar's star topology detection by placing predicates that involve only a single object type first (e.g., ontable, handempty, empty) to promote clean variable separation, and by ordering leaf-only actions (those affecting only one container, like empty-shot or shake) before actions that cross multiple containers (grasp, leave, pour actions). Within each action, I reorder preconditions and effects to put the primary manipulated container's local conditions first and shared/hand conditions last, helping the causal graph and InteractionGraph analysis identify independent leaf modules more efficiently.",N/A,3474,5827,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/decstar/barman/barman_deepseek-r1_Feedback_decstar_iter1.pddl,2026-05-24T19:59:38.497925
16,barman,deepseek-reasoner,decstar,2,INVALID_V4,"{'pred_reordered': 1, 'actions_reordered': 1, 'params_reordered': 1, 'pre_reordered': 1, 'eff_add_semantic_change': 1, 'eff_del_semantic_change': 1, 'has_semantic_change': 1}",0.0,0.0,0,0.0,N/A,N/A,N/A,False,"My reordering strategy inverts the previous approach by placing cross-type interaction predicates (e.g., contains, used, shaker-level) first to help DecStar's causal graph identify the central hub variables, and ordering cross‑container actions (pour, shake) before single‑container leaf actions to emphasize the hub‑and‑spoke structure. Within each action, I reorder parameters to make the primary manipulated container the first parameter and restructure preconditions/effects to put hand (center) conditions first and leaf effects first, aiming to improve the InteractionGraph’s ability to separate leaf modules from the center.",N/A,3672,5361,N/A,2026-05-24T20:00:25.729509
17,barman,gemini-3.1-pro-preview-customtools,decstar,1,VALID,N/A,0.26666666666666666,106.5485585,1434989,3.9170345058892844,-0.08296549411071541,False,3.9170345058892844,True,"To optimize for DecStar's Star Topology factoring, predicates and actions are reordered to prioritize single-object, leaf-local operations over multi-object, coordinating operations. By placing container-specific predicates and single-subsystem actions first, and demoting shared resources and global interactions to the end of preconditions and effects, the Causal Graph analysis can more efficiently isolate independent leaf modules and minimize expensive center actions.",N/A,2929,1738,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/decstar/barman/barman_gemini-3.1-pro_Feedback_decstar_iter1.pddl,2026-05-24T20:01:11.633657
18,barman,gpt-5.4-2026-03-05,decstar,2,VALID,N/A,0.26666666666666666,106.168853,1434989,3.9066224047521954,-0.09337759524780453,False,0.004937690821210872,False,"I reorder the domain to follow a conservative translator-friendly strategy: restore a type-structured predicate block with generic container/hand/level state before shaker-specific and cross-type beverage relations, and group actions by broad manipulation phases from generic hand/container handling through shot maintenance, shaker maintenance, and finally transfer/mixing operators. Unlike the previous attempt, I avoid aggressively pushing all cross-object coordination to the very end inside every action, instead keeping a more schema-natural ordering that may better preserve Fast Downward/DecStar grounding and variable-order heuristics while still exposing reusable local structure.",N/A,3503,1604,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/decstar/barman/barman_gpt-5.4_Feedback_decstar_iter2.pddl,2026-05-24T21:11:36.454113
19,barman,claude-opus-4-6,decstar,2,VALID,N/A,0.26666666666666666,106.54404075,1434989,3.9107836412578343,-0.08921635874216594,False,-0.010899275574205891,False,"My reordering strategy returns to a structure closer to the successful Stage 2 attempt by keeping the original action order largely intact but reordering predicates to place single-type predicates (level, hand, shaker-only, container-only) before multi-type interaction predicates (contains, used, holding, dispenses, cocktail-part), and within each action reordering preconditions/effects so that the primary manipulated object's local predicates come first and shared/coordinating predicates (handempty, holding, next, cocktail-part) come last. This should improve causal graph analysis by making leaf-local variable clusters more apparent while avoiding the harmful action reordering from Iteration 1 that disrupted DecStar's factoring.",N/A,4324,2035,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/decstar/barman/barman_claude-opus-4.6_Feedback_decstar_iter2.pddl,2026-05-24T21:11:59.818287
20,barman,deepseek-reasoner,decstar,3,VALID,N/A,0.26666666666666666,106.21862975,1434989,3.914818782117155,-0.08518121788284527,False,0.007669363046029609,False,"My reordering strategy prioritizes single-type predicates first to help DecStar's causal graph identify clean leaf variables, and places the global predicate `holding` last to reduce central hub entanglement. I order actions from most container-local (empty-shot, clean-shot) to most cross-container (shake), and within each action I reorder preconditions and effects to put the primary manipulated container's conditions first, aiding the InteractionGraph in separating leaf modules from the center.",MAX_ITER,3235,5956,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/decstar/barman/barman_deepseek-r1_Feedback_decstar_iter3.pddl,2026-05-24T21:14:28.546649
21,barman,gemini-3.1-pro-preview-customtools,decstar,2,VALID,N/A,0.26666666666666666,106.99874075,1434989,3.9067626887845677,-0.09323731121543244,False,-0.010271817104716696,False,"To optimize for DecStar's Star Topology, this reordering explicitly promotes ""shots"" as independent leaf modules by grouping container-specific predicates first and prioritizing shot-only actions (`fill-shot`, `empty-shot`) at the top of the domain. Shaker and hand operations are demoted to act as the central hub, and cross-module interactions (`pour-*`) are placed last with leaf-first internal ordering, ensuring the Causal Graph cleanly isolates shots without merging them into the center.",N/A,3811,1762,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/decstar/barman/barman_gemini-3.1-pro_Feedback_decstar_iter2.pddl,2026-05-24T21:15:53.090639
22,barman,gemini-3.1-pro-preview-customtools,decstar,3,LLM_TokenLimitExceeded,N/A,0.0,0.0,0,0.0,N/A,N/A,N/A,False,N/A,MAX_ITER,0,0,N/A,2026-05-24T21:18:17.014508
23,barman,deepseek-reasoner,bfws,1,VALID,N/A,1.0,49.0972234,23836,15.0,0.5219854105984416,True,0.0015773728382306729,True,"I reorder the predicates and actions to give lowest internal IDs to goal-relevant elements: predicates like contains, shaked, and clean come first, and actions such as pour-shaker-to-shot and shake (which directly produce goal conditions) are placed before utility actions like grasp and leave. This guides BFWS-Preference’s relaxed plan extraction toward more relevant subgoals, producing tighter #r counts and better bucket assignments, which improves novelty-based search focus and overall coverage.",N/A,3541,2736,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/bfws/barman/barman_deepseek-r1_Feedback_bfws_iter1.pddl,2026-05-24T21:27:11.049604
24,barman,gemini-3.1-pro-preview-customtools,bfws,1,VALID,N/A,1.0,48.17764560000001,23057,15.0,0.8066387035582264,True,0.0,False,"Actions are ordered from most goal-achieving (`pour-shaker-to-shot`, `shake`) to goal-enabling (`pour-shot-to-clean-shaker`, `fill-shot`), down to general utility (`grasp`, `leave`), ensuring H_Add_Rp_Fwd tie-breaking favors actions that directly progress towards the goal. Predicates are ordered with goal-relevant states (`contains`, `shaked`) first and static/auxiliary states last, while preconditions and effects maintain goal-proximal elements first to optimize novelty tuple generation and forward reachability.",N/A,3774,1780,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/bfws/barman/barman_gemini-3.1-pro_Feedback_bfws_iter1.pddl,2026-05-24T21:31:42.208311
25,barman,deepseek-reasoner,bfws,2,VALID,N/A,1.0,49.171967133333325,23836,15.0,0.5029842172801445,True,0.0,False,"I reorder the predicates so that goal-relevant fluents (contains, shaked, clean, empty) come first, followed by enabling predicates (used, handempty, holding, ontable), then dynamic state predicates (shaker-level, shaker-empty-level, unshaked), and finally static predicates (dispenses, next, cocktail-part1, cocktail-part2). Actions are ordered by their proximity to goal achievement: shake and pour-shaker-to-shot (which directly produce goal conditions) first, then ingredient-transfer actions, then cleanup actions, and finally utility actions (grasp, leave) last. Within each action, preconditions and effects are reordered to place goal-proximal and add-effects first, guiding BFWS-Preference’s relaxed plan extraction toward more relevant subgoals and producing tighter #r counts for better bucket discrimination.",N/A,3684,3356,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/bfws/barman/barman_deepseek-r1_Feedback_bfws_iter2.pddl,2026-05-24T21:39:57.674550
26,barman,gemini-3.1-pro-preview-customtools,bfws,2,VALID,N/A,1.0,48.0757826,23057,15.0,0.8038221036829372,True,0.0,False,"To further optimize performance, I refined the precondition ordering by placing static predicates immediately after goal-proximal predicates, which satisfies both BFWS's backward trace for relaxed plan extraction and Fast Downward's invariant synthesis. I maintained the optimal action and predicate ordering from the previous iteration, ensuring goal-achieving actions and predicates receive the lowest internal IDs to prioritize them during tie-breaking and novelty evaluation.",N/A,3994,1740,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/bfws/barman/barman_gemini-3.1-pro_Feedback_bfws_iter2.pddl,2026-05-24T21:45:01.649051
27,barman,deepseek-reasoner,bfws,3,VALID,N/A,1.0,49.38354613333333,23836,15.0,0.49533236487634186,True,0.0,False,"I will reorder the actions to place empty-shot and empty-shaker before clean-shot and clean-shaker, since emptying is a prerequisite for cleaning and giving them lower IDs will guide the relaxed plan to pick them first when needed. I will also reorder preconditions within each action to put dynamic, goal-relevant predicates first and static predicates last, which helps H_Add_Rp_Fwd trace more directly toward goal-achieving fluents, resulting in tighter #r counts and better bucket discrimination.",MAX_ITER,3915,5486,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/deepseek-r1/bfws/barman/barman_deepseek-r1_Feedback_bfws_iter3.pddl,2026-05-24T21:53:17.062758
28,barman,deepseek-reasoner,madagascar,1,INVALID_V4,"{'pred_reordered': 1, 'actions_reordered': 1, 'params_reordered': 1, 'pre_semantic_change': 1, 'eff_add_reordered': 1, 'has_semantic_change': 1}",0.0,0.0,0,0.0,N/A,N/A,N/A,False,"I placed goal-relevant predicates (contains, shaked, unshaked) first to give them the lowest SAT variable IDs, prioritizing them in Madagascar's backward-chaining heuristic, and grouped mutually exclusive pairs (shaked/unshaked, shaker-level/shaker-empty-level) adjacently for faster fixpoint invariant discovery. I then reordered actions so that goal-achieving actions (shake, pour-shaker-to-shot) come first, followed by subgoal actions, and within each action I placed easily satisfiable preconditions and goal-relevant add-effects early to maximize unit propagation and guide the CDCL solver's initial guesses.",N/A,3453,4781,N/A,2026-05-24T21:53:48.786980
29,barman,gemini-3.1-pro-preview-customtools,bfws,3,VALID,N/A,1.0,48.14553446666667,23057,15.0,0.806647490157401,True,0.0,False,"To further optimize performance, I refined the precondition ordering by placing static predicates immediately after all goal-proximal and state-enabling predicates, ensuring an optimal backward trace for BFWS while maintaining early identification for Fast Downward's invariant synthesis. I also strictly ordered actions from direct goal-achievers (`pour-shaker-to-shot`, `shake`) down through their dependency chain (`pour-shot-to-clean-shaker`, `fill-shot`, `clean-shot`, `empty-shaker`) to general utility, guaranteeing that H_Add_Rp_Fwd tie-breaking consistently favors the most direct path to the goal.",MAX_ITER,4141,1792,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gemini-3.1-pro/bfws/barman/barman_gemini-3.1-pro_Feedback_bfws_iter3.pddl,2026-05-24T21:58:38.718388
30,barman,gpt-5.4-2026-03-05,decstar,3,VALID,N/A,0.26666666666666666,107.22064175,1434989,3.890544181450805,-0.10945581854919517,False,-0.016078223301390526,False,"I reorder this domain to emphasize a container-centric progression from generic single-container manipulation through shot-local maintenance, then shaker-local maintenance, and only afterward the strongly coordinating transfer and mixing actions that tie shots, shakers, ingredients, cocktails, and levels together. I also switch predicate and intra-action literal orderings to put unary/container-local state before hand, level, and beverage-interaction relations, aiming to preserve clearer local structure for DecStar’s causal-graph factoring while delaying globally coupling literals.",MAX_ITER,3671,1588,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/decstar/barman/barman_gpt-5.4_Feedback_decstar_iter3.pddl,2026-05-24T22:25:15.575968
31,barman,claude-opus-4-6,decstar,3,VALID,N/A,0.26666666666666666,107.05005925,1434989,3.879897773190463,-0.12010222680953699,False,-0.03088586806737137,False,"Looking at the iteration history, both my previous attempts regressed by reordering predicates and actions away from the original structure. The successful Stage 2 attempt (which I don't have) likely stayed very close to the original. Since the baseline solves 4/15 instances and my changes only hurt timing on those same 4, I should try a minimal, targeted change: keeping the original action order but reordering preconditions/effects within actions to place the most constraining local predicates first (helping h² pruning) and demoting `handempty`/`next`/`cocktail-part` references to the end, while keeping predicates in near-original order with only `next` and `cocktail-part` demoted as global connectors.

My strategy focuses on minimal changes from the original: keeping action and predicate order nearly identical but reordering preconditions within each action to place the primary container's local state first and shared coordination predicates (handempty, next, cocktail-part1/2, dispenses) last, which should help h² mutex pruning eliminate more states early and improve the causal graph's leaf detection. I also swap `next` and `cocktail-part` predicates to the end of the predicates block since they connect all levels/cocktails globally and could collapse SCCs.",MAX_ITER,4551,2163,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/decstar/barman/barman_claude-opus-4.6_Feedback_decstar_iter3.pddl,2026-05-24T22:25:48.105588
32,barman,gpt-5.4-2026-03-05,bfws,1,VALID,N/A,1.0,51.91228846666665,23836,14.988864927041213,0.20095898656499223,True,-0.011135072958786907,False,"I reorder actions so the relaxed plan extractor sees serving and cocktail-completion operators first, then their support operators for shaker preparation and ingredient acquisition, while predicates are ordered from goal-facing beverage/container state facts to enabling and static relations. I also place goal-proximal preconditions and add-effects before auxiliary conditions and delete-effects so BFWS-Preference’s ID-based tie-breaking and relevant-fluent counting are biased toward shorter goal-directed relaxed supports without changing semantics.",N/A,3386,1579,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/bfws/barman/barman_gpt-5.4_Feedback_bfws_iter1.pddl,2026-05-24T22:38:43.224344
33,barman,claude-opus-4-6,bfws,1,VALID,N/A,1.0,51.123078533333334,23380,14.98748665582504,0.31743962839937523,True,0.03641489759389316,True,"My reordering strategy focuses on further optimizing action order by placing `pour-shaker-to-shot` first (directly achieves the goal predicate `contains ?shot ?cocktail`), followed by `shake` (creates the cocktail in the shaker), then the pour-to-shaker actions and `fill-shot`/`refill-shot` that build preconditions, with `grasp`/`leave` and cleanup actions last; I also reorder predicates to place `contains` and `ontable` (goal-relevant) first, and within each action I reorder preconditions to place goal-proximal predicates before static/auxiliary ones, and effects to place goal-achieving add-effects before deletes. This tighter alignment of internal IDs with goal-relevance should produce more discriminating #r values in H_Add_Rp_Fwd, yielding better bucket assignments and improved novelty pruning.",N/A,4066,2067,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/bfws/barman/barman_claude-opus-4.6_Feedback_bfws_iter1.pddl,2026-05-24T22:39:05.975489
34,barman,gpt-5.4-2026-03-05,bfws,2,VALID,N/A,1.0,52.01730980000001,23836,14.996716090376093,0.18393207878727147,True,0.00785116333488034,False,"I reorder the domain to push serving and cocktail-achievement operators first, followed by the ingredient-transfer and preparation operators that support them, while moving generic manipulation and cleanup operators later so BFWS tie-breaking in relaxed-plan extraction favors goal-directed supports. I also place goal-facing predicates first and order preconditions/effects so goal-proximal add facts appear earlier, which should sharpen relevant-fluent counts and novelty partitions without changing semantics.",N/A,3545,1574,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/gpt-5.4/bfws/barman/barman_gpt-5.4_Feedback_bfws_iter2.pddl,2026-05-24T22:52:08.054851
35,barman,claude-opus-4-6,bfws,2,VALID,N/A,1.0,51.20564960000001,23380,14.984302086781227,0.30105164037600907,True,-0.0031845690438121466,False,"My reordering strategy further refines precondition and effect ordering within each action to maximize goal-proximity of early-ID fluents, and swaps `pour-shot-to-clean-shaker` before `pour-shot-to-used-shaker` since clean-shaker pouring is always needed first in any plan (the shaker starts clean), ensuring the relaxed plan extractor picks the correct initial pour action with lower ID; I also reorder predicates to push `used` and `shaker-level` earlier since they appear frequently in preconditions of goal-critical actions, improving novelty discrimination. This tighter alignment of the relaxed plan trace with actual plan structure should reduce #r further and improve bucket assignments, especially on harder instances like instance-13.",N/A,4376,2032,/Users/danielehab/My Drive/ArchAware-PDDL-Configurator/results/feedback_loop/Iteration Domains/claude-opus-4.6/bfws/barman/barman_claude-opus-4.6_Feedback_bfws_iter2.pddl,2026-05-24T22:52:23.417314
